"z_NO_OSM","zref","name","name:ca","zCATEGORIA","amenity","admin_level","government","office","chamber","addr:street","nohousenumber","addr:housenumber","addr:floor","addr:door","addr:postcode","zPOBLACIO","zCODI_MUNICIPI","zCOMARCA","phone","fax","zUTMX","zUTMY","lon","lat","email","website","ZDATA_MODIFICACIO","ZPROPIETATS","ZGeoreferència"
,657532,"Recinte Firal de Balaguer","Recinte Firal de Balaguer","Comerç. Consum|Recintes firals||","exhibition_centre",,,,,"Carrer d'Urgell","yes",,,,25600,"Balaguer",250404,"Noguera","+34-973 446 606","973 446 606",318724167,4628611400,"0.818408300","41.788652900",,"http://www.balaguer.cat","07/17/2024 07:01:43 AM","Entitat|Àrea de Promoció Econòmica IMPIC (Institut Municipal Progrés i Cultura)|Superfície bruta|3.500 m2|Superfície neta|15.000 m2 ","POINT (0.8184083 41.788654)"
,657533,"Recinte Firal de Barcelona","Recinte Firal de Barcelona","Comerç. Consum|Recintes firals||","exhibition_centre",,,,,"Avinguda de la Reina M. Cristina","yes",,,,"08004","Barcelona",80193,"Barcelonès","+34-902 23 32 00","902 23 32 00",429024083,4580642198,"2.151254700","41.374168900",,"http://www.firabcn.es","07/17/2024 07:01:43 AM","Entitat|Fira de Barcelona|Superfície bruta|47.703 m2 |Superfície neta|42.000 m2 ","POINT (2.1512547 41.37417)"
,657530,"Recinte Firal de Viladecans","Recinte Firal de Viladecans","Comerç. Consum|Recintes firals||","exhibition_centre",,,,,"Passeig de la Marina ","yes",,,,"08840","Viladecans",83015,"Baix Llobregat","+34-936 351 800","936 351 800",418333066,4574230514,"2.024288320","41.315408917",,"http://www.viladecans.cat","07/17/2024 07:01:40 AM","Entitat|Ajuntament de Viladecans|Superfície bruta|1.300 m2 |Superfície neta|--","POINT (2.0242884 41.31541)"
,657519,"Recinte Firal de Martorell","Recinte Firal de Martorell","Comerç. Consum|Recintes firals||","exhibition_centre",,,,,"Avinguda de Joaquim Barnola i Bassols","yes",,,,"08760","Martorell",81141,"Baix Llobregat","+34-937 750 050","937 750 050",0,0,"0.000000000","0.000000000",,"http://www.martorell.cat","07/17/2024 07:01:42 AM","Entitat|Ajuntament de Martorell|Superfície bruta|7.850 m2 |Superfície neta|1.500 m2 ",
,657529,"Recinte Firal de Vic","Recinte Firal de Vic","Comerç. Consum|Recintes firals||","exhibition_centre",,,,,"Carrer de la Llotja ","yes",,,,"08500","Vic",82981,"Osona","+34-938 833 100","938 833 100",437552616,4641868736,"2.246835724","41.926309280",,"http://www.vicfires.cat","07/17/2024 07:01:40 AM","Entitat|Organisme Autònom de Fires i Mercats de Vic|Superfície bruta|4.000 m2 |Superfície neta|3.200 m2 ","POINT (2.2468357 41.926308)"
,657531,"Recinte Firal de Vilafranca del Penedès","Recinte Firal de Vilafranca del Penedès","Comerç. Consum|Recintes firals||","exhibition_centre",,,,,"Avinguda de Catalunya","yes",,,,"08720","Vilafranca del Penedès",83054,"Alt Penedès","+34-938 920 562","938 920 562",390255122,4578166742,"1.688190927","41.347524132",,"http://www.vilafranca.cat","07/17/2024 07:01:39 AM","Entitat|Ajuntament de Vilafranca del Penedès|Superfície bruta|6.500 m2 |Superfície neta|18.000 m2 ","POINT (1.6881909 41.347523)"
,657516,"Recinte Firal de La Bisbal d'Empordà","Recinte Firal de La Bisbal d'Empordà","Comerç. Consum|Recintes firals||","exhibition_centre",,,,,"Avinguda de Mas Clarà","yes",,,,17100,"Bisbal d'Empordà, la",170221,"Baix Empordà","+34-972 640 975","972 640 975",0,0,"0.000000000","0.000000000",,"http://www.labisbal.cat","07/17/2024 07:01:42 AM","Entitat|Ajuntament de La Bisbal d'Empordà|Superfície bruta|1.875 m2 |Superfície neta|924 m2 ",
,657514,"Recinte Firal de Agramunt","Recinte Firal de Agramunt","Comerç. Consum|Recintes firals||","exhibition_centre",,,,,"Plaça de la Fondandana","yes",,,,25310,"Agramunt",250030,"Urgell","+34-973 390 057","973 390 057",0,0,"0.000000000","0.000000000",,"http://www.agramunt.cat","07/17/2024 07:01:43 AM","Entitat|Ajuntament d'Agramunt|Superfície bruta|2.835 m2|Superfície neta|--",
,657520,"Recinte Firal de Mollerussa","Recinte Firal de Mollerussa","Comerç. Consum|Recintes firals||","exhibition_centre",,,,,"Avinguda del Canal","yes",,,,25230,"Mollerussa",251370,"Pla d'Urgell","+34-973 600 799","973 600 799",324537308,4610587062,"0.893625754","41.627722558",,"http://www.fira.com","07/17/2024 07:01:42 AM","Entitat|Fira de Mollerussa|Superfície bruta|6.275,40 m2|Superfície neta|12.750 m2 ","POINT (0.89362574 41.627724)"
,657517,"Recinte Firal de Lleida","Recinte Firal de Lleida","Comerç. Consum|Recintes firals||","exhibition_centre",,,,,"Avinguda del President Josep Tarradellas","yes",,,,25005,"Lleida",251207,"Segrià","+34-973 705 000","973 705 000",0,0,"0.000000000","0.000000000",,"http://www.firadelleida.com","07/17/2024 07:01:42 AM","Entitat|Fira de Lleida|Superfície bruta|8.500 m2 |Superfície neta|61.500 m2 ",
,657525,"Recinte Firal de Amposta","Recinte Firal de Amposta","Comerç. Consum|Recintes firals||","exhibition_centre",,,,,"Carrer de Sebastià Juan Arbó","yes",,,,43870,"Amposta",430141,"Montsià","+34-977 701 739","977 701 739",295443499,4508954265,"0.578576138","40.706119152",,"http://www.firaamposta.cat","07/17/2024 07:01:43 AM","Entitat|Ajuntament d'Amposta|Superfície bruta|3.000 m2|Superfície neta|--","POINT (0.57857615 40.70612)"
,657526,"Recinte Firal de Sant Carles de la Ràpita","Recinte Firal de Sant Carles de la Ràpita","Comerç. Consum|Recintes firals||","exhibition_centre",,,,,"Avinguda dels Alfacs ","yes",,,,43540,"Sant Carles de la Ràpita",431362,"Montsià","+34-977 740 100","977 740 100",296512498,4499026027,"0.594434030","40.617021713",,"http://www.larapita.cat","07/17/2024 07:01:41 AM","Entitat|Ajuntament de Sant Carles de la Ràpita|Superfície bruta|487 m2 |Superfície neta|2.250 m2 ","POINT (0.594434 40.617023)"
