IDEQUIPAMENT,ALIES,NOM,CATEGORIA,TIPUS_VIA,VIA,SUFIX_VIA,2TIPUS_VIA,2VIA,2SUFIX_VIA,NUM,PIS,PORTA,CPOSTAL,POBLACIO,CODI_MUNICIPI,COMARCA,TELEFON1,TELEFON2,FAX,UTMX,UTMY,LONGITUD,LATITUD,EMAIL,WEB,DATA_MODIFICACIO,PROPIETATS,Georeferència
574501,Jutjat de Pau de Sant Andreu de la Barca,Jutjat de Pau de Sant Andreu de la Barca,Justícia|Jutjats de pau||,," Crta. de Martorell, 1, baixos",,,,,,,,8740,Sant Andreu de la Barca,81960,Baix Llobregat,936356411,,936356408,414086943,4589222680,1.971440000,41.449990000,,,07/18/2024 07:02:48 AM,,POINT (1.97144 41.44999)
384411,"A.V. Pla de Bonaire, Casal Cívic","A.V. Pla de Bonaire, Casal Cívic",Tecnologia. Innovació|Punt TIC||,," Crta. Matadepera, s/n",,,,,,,,8225,Terrassa,82798,Vallès Occidental,93 735 29 07,,,418146478,4603762109,2.018056900,41.581357900,pladebonaire@xarxaomnia.gencat.cat,,10/19/2023 09:55:55 AM,,POINT (2.0180569 41.581356)
384077,Telecentre Alta Ribagorça,Telecentre Alta Ribagorça,Tecnologia. Innovació|Punt TIC||,," Crta. N-230, Entrada SUD del Pont de Suert",,,,,,,,25520,"Pont de Suert, el",251734,Alta Ribagorça,973 69 05 50,,,313703522,4698740540,0.735673500,42.418619100,telecentre.ar@ccar.ddl.net,,10/19/2023 09:55:42 AM,,POINT (0.7356735 42.418617)
24594957,CAMP D'ESPORTS MUNICIPAL JOSEP GUARDIOLA,CAMP D'ESPORTS MUNICIPAL JOSEP GUARDIOLA,Esports. Lleure|Instal·lacions esportives|Sala|Esports. Lleure|Instal·lacions esportives|Camp|,," Crta. Navarcles, s/n, Santpedor",,,,,,,,8251,Santpedor,81923,Bages,,,,404311000,4626201000,1.848514305,41.781890895,,,07/19/2024 07:32:19 AM,"Enlla�|<a href="" http://equipaments.esport.gencat.cat/ceeree/equipaments/24905"" target=""_blank"">Cens d�equipaments esportius de Catalunya</a>|Espais|2 Camps poliespotius i especialitzats<br/>1 Sales d'activitats i especialitzades",POINT (1.8485143 41.78189)
24595310,NOU CAMP MUNICIPAL,NOU CAMP MUNICIPAL,Esports. Lleure|Instal·lacions esportives|Camp|,," Crta. Pontons, s/n, Torrelles de Foix",,,,,,,,8737,Torrelles de Foix,82883,Alt Penedès,,,,381046000,4582566000,1.577280309,41.385831766,,,07/19/2024 07:32:09 AM,"Enlla�|<a href="" http://equipaments.esport.gencat.cat/ceeree/equipaments/25484"" target=""_blank"">Cens d�equipaments esportius de Catalunya</a>|Espais|1 Camps poliespotius i especialitzats",POINT (1.5772803 41.38583)
27040684,Sala d'actes La Societat,Sala d'actes La Societat,Cultura|Espais escènics i musicals|Sala polivalent|,," Crta.Montblanc-Artesa, 55",,,,,,,,43412,Solivella,431476,Conca de Barberà,977892101,,,0,0,0.000000000,0.000000000,secretaria@solivella.cat,,07/10/2024 07:20:42 AM,Gestio|Pública   |Titularitat|Pública   ,
574599,Jutjat de Pau de Soleràs,Jutjat de Pau de Soleràs,Justícia|Jutjats de pau||,," Crtra. de Bellpuig, s/n",,,,,,,,25163,"Soleràs, el",252069,Garrigues,973133232,,973133232(F),306544944,4587124357,0.685336000,41.412398000,,,07/18/2024 07:02:37 AM,,POINT (0.685336 41.4124)
573500,Jutjat de Pau de Sant Feliu de Buixalleu,Jutjat de Pau de Sant Feliu de Buixalleu,Justícia|Jutjats de pau||,," Crtra. de Gaserans, 181",,,,,,,,17451,Sant Feliu de Buixalleu,171595,Selva,972864018,,972864616,465434634,4621652987,2.584282600,41.745945700,,,07/18/2024 07:02:43 AM,,POINT (2.5842826 41.745945)
574584,Jutjat de Pau de Ribera d'Urgellet,Jutjat de Pau de Ribera d'Urgellet,Justícia|Jutjats de pau||,, Crtra. de Lleida,El Pla de Sant Tirs,,,,,,,25796,Ribera d'Urgellet,251850,Alt Urgell,973387074,,973387045,366638832,4686042755,1.381709900,42.315210800,,,07/18/2024 07:02:37 AM,,POINT (1.3817099 42.315212)
27042709,Museu Monogràfic del Castell de Llinars,Museu Monogràfic del Castell de Llinars,"Cultura|Museus, col·leccions i centres d'interpretació|Museus i col·leccions|",," Crtra. de Llinars a Dosrius, B-510, km 8. Can Bordoi",,,,,,,,8450,Llinars del Vallès,81069,Vallès Oriental,938410875 - 93,,,450395000,4608378000,2.404512565,41.625585443,mercevilroc@gmail.com,,07/10/2024 07:22:09 AM,Gestio|Gestió directa de persones o entitats privades|Titularitat|Privada,POINT (2.4045126 41.625584)
546998,Ajuntament de Camós,Ajuntament de Camós,Administració pública|Ens locals|Ajuntaments|,," Cruanyes, 2 -Casa Consistorial",,,,,,,,17834,Camós,170353,Pla de l'Estany,972-573192,,972-581503,480750000,4660300000,2.767216702,42.094547262,ajuntament@camos.cat,http://www.ddgi.cat/camos,07/17/2024 07:03:48 AM,,POINT (2.7672167 42.094547)
3620024,Consultori local Ivars de Noguera,Consultori local Ivars de Noguera,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CS COSTA DEL PERE, 1",,,,,,,,25122,Ivars de Noguera,251121,Noguera,973761370,,,299593390,4635959710,0.587074428,41.850170607,,,07/19/2024 07:56:13 AM,Horari|Consulteu l'horari al CAP de referència - Telèfon del CAP (973 77 02 18).  Atenció continuada 24 h al CAP Almenar.,POINT (0.5870744 41.85017)
3619704,Consultori local El Talladell,Consultori local El Talladell,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CS COSTA SANT PERE, S/N",,,,,,,,25360,Tàrrega,252173,Urgell,973310852,,,347357989,4612505330,1.166946416,41.649684868,,,07/19/2024 07:56:05 AM,Horari|Consulteu l'horari al CAP de referència - Telèfon del CAP (973 31 08 52).  Atenció continuada 24 h al CAP Tàrrega.,POINT (1.1669464 41.649685)
3623834,"Farmàcia Roca Coma, Rosa","Farmàcia Roca Coma, Rosa",Salut|Farmàcies||,," CT  BARCELONA, 38",,,,,,,,17500,Ripoll,171479,Ripollès,972701490,,,433359304,4671577378,2.192884567,42.193513005,,,07/19/2024 07:55:34 AM,,POINT (2.1928847 42.193512)
3623942,"Farmàcia Frigole Oliver, M. Carme","Farmàcia Frigole Oliver, M. Carme",Salut|Farmàcies||,," CT  CAMÓS, 55",,,,,,,,17834,Camós,170353,Pla de l'Estany,972574224,,,480677685,4660655334,2.766330480,42.097745778,,,07/19/2024 07:55:35 AM,,POINT (2.7663305 42.097744)
3623873,"Farmàcia Brunso Teixidor, Josep","Farmàcia Brunso Teixidor, Josep",Salut|Farmàcies||,," CT  DE BANYOLES, 15",,,,,,,,17481,Sant Julià de Ramis,171693,Gironès,972170493,,,485501668,4652139677,2.824878642,42.021153202,,,07/19/2024 07:55:37 AM,,POINT (2.8248787 42.021152)
3623871,"Farmàcia Turón Pages, E. i C.","Farmàcia Turón Pages, E. i C.",Salut|Farmàcies||,," CT  DE LA COSTA, 5",,,,,,,,17495,Palau-saverdera,171208,Alt Empordà,972530392,,,512238679,4683959781,3.148496381,42.307775504,,,07/19/2024 07:55:45 AM,,POINT (3.1484964 42.307777)
3623872,"Farmàcia Comas Bergua, Maria Teresa","Farmàcia Comas Bergua, Maria Teresa",Salut|Farmàcies||,," CT  DE LA ROQUETA, 1",,,,,,,,17140,Ullà,172044,Baix Empordà,972757101,,,509831485,4654769062,3.118796036,42.044907174,,,07/19/2024 07:55:42 AM,,POINT (3.118796 42.044907)
3624544,Farmàcia Jimenez Ucero. M. del Pilar,Farmàcia Jimenez Ucero. M. del Pilar,Salut|Farmàcies||,," CT  DE RIBES, 205",,,,,,,,8520,"Franqueses del Vallès, les",80863,Vallès Oriental,938493772,,,441257454,4608689890,2.294796881,41.627773977,,,07/19/2024 07:54:27 AM,,POINT (2.294797 41.627773)
3623835,"Farmàcia Olivé Vidal, Isabel","Farmàcia Olivé Vidal, Isabel",Salut|Farmàcies||,," CT  PALAMOS, 74",,,,,,,,17220,Sant Feliu de Guíxols,171609,Baix Empordà,972320109,,,503032208,4625710765,3.036489504,41.783240504,,,07/19/2024 07:55:42 AM,,POINT (3.0364895 41.78324)
3623301,"Farmàcia Miret Solé, M. Carme","Farmàcia Miret Solé, M. Carme",Salut|Farmàcies||,," CT  SANT PERE DE RIBES, 38-42",,,,,,,,8870,Sitges,82704,Garraf,938944911,,,399690795,4566635469,1.802853767,41.244906011,,,07/19/2024 07:55:14 AM,,POINT (1.8028538 41.244907)
3623774,"Farmàcia Feliu Bassols, Àngels i Carme","Farmàcia Feliu Bassols, Àngels i Carme",Salut|Centres sanitaris|7. Centres amb intercanvi de xeringues|Salut|Farmàcies||,," CT  SANTA PAU, 10-12",,,,,,,,17800,Olot,171143,Garrotxa,972261079,,,457907475,4669628566,2.490324785,42.177668498,,,07/19/2024 07:55:41 AM,,POINT (2.4903247 42.17767)
3623634,"Farmàcia Puig Masó, Montserrat","Farmàcia Puig Masó, Montserrat",Salut|Farmàcies||,," CT  STA. COLOMA, 34",,,,,,,,17421,Riudarenes,171485,Selva,972856137,,,476417074,4630386036,2.716019514,41.825005320,,,07/19/2024 07:55:33 AM,,POINT (2.7160196 41.825005)
3623929,"Farmàcia Serra Rigau, M. Mercè","Farmàcia Serra Rigau, M. Mercè",Salut|Farmàcies||,," CT  STA. COLOMA, 90",,,,,,,,17180,Vilablareix,172155,Gironès,972232605,,,482893143,4644357784,2.793597688,41.951012175,,,07/19/2024 07:55:37 AM,,POINT (2.7935977 41.95101)
3623782,"Farmàcia Noguer Martorell, Marina","Farmàcia Noguer Martorell, Marina",Salut|Farmàcies||,," CT  TORROELLA, 50",,,,,,,,17200,Palafrugell,171175,Baix Empordà,972301766,,,513058544,4640738620,3.157477499,41.918492733,,,07/19/2024 07:55:43 AM,,POINT (3.1574776 41.91849)
3623010,"Farmàcia Torreguitart, L - Guerrero, L - Pallí, S","Farmàcia Torreguitart, L - Guerrero, L - Pallí, S",Salut|Farmàcies||,," CT AEROPORT, S/N",,,,,,,,8820,"Prat de Llobregat, el",81691,Baix Llobregat,933704503,,,422018792,4573046090,2.068469510,41.305106159,,,07/19/2024 07:54:52 AM,,POINT (2.0684695 41.305107)
3624055,"Farmàcia Pedró Carulla, Montserrat","Farmàcia Pedró Carulla, Montserrat",Salut|Farmàcies||,," CT AGRAMUNT, 17",,,,,,,,25730,Artesa de Segre,250349,Noguera,973400064,,,338029482,4639957745,1.047499794,41.894965542,,,07/19/2024 07:56:13 AM,,POINT (1.0474998 41.894966)
3624751,"Farmàcia Soriano Sempere, José Javier","Farmàcia Soriano Sempere, José Javier",Salut|Farmàcies||,," CT ANTIGA DE VALENCIA, 31",,,,,,,,8914,Badalona,80155,Barcelonès,933999276,,,435292482,4587733216,2.225448533,41.438564541,,,07/19/2024 07:54:44 AM,,POINT (2.2254486 41.438564)
3622689,CAP Llefià,CAP Llefià,Salut|Centres sanitaris|7. Centres amb intercanvi de xeringues|Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CT ANTIGA VALÈNCIA, 84",,,,,,,,8913,Badalona,80155,Barcelonès,933991460,,,434850223,4587629545,2.220166325,41.437595043,llefia.badalona.sanitat@gencat.cat,https://primaria.icsmetropolitananord.cat/,07/19/2024 07:54:45 AM,"Horari|de dl. a dv. de 8 a 20 h i ds. 8 a 17 h. Fora d'aquest horari, truqueu al 061 Salut Respon o adreceu-vos al CUAP Badalona (obert 24 hores) o a l'Hospital Municipal de Badalona.",POINT (2.2201662 41.437595)
9026598,Atenció continuada CAP Llefià,Atenció continuada CAP Llefià,Salut|Centres sanitaris|2. Centres amb atenció continuada|,," CT ANTIGA VALÈNCIA, 84",,,,,,,,8913,Badalona,80155,Barcelonès,,,,434850223,4587629545,2.220166325,41.437595043,,,07/19/2024 07:54:46 AM,Horari|Dissabtes de 8 a 17 h. Fora d'aquest horari truqueu al 061 Salut Respon o adreceu-vos al CUAP Badalona o al CAP Doctor Barraquer.,POINT (2.2201662 41.437595)
3620035,Consultori local Preixens,Consultori local Preixens,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CT BALAGUER, 10",,,,,,,,25316,Preixens,251771,Noguera,973390635,,,337897962,4628928337,1.048935113,41.795655479,,,07/19/2024 07:56:12 AM,Horari|Consulteu l'horari al CAP de referència - Telèfon del CAP (973 39 06 35).  Atenció continuada 24 h al CAP Agramunt.,POINT (1.048935 41.795654)
3621251,"Farmàcia Quintana Cañellas, Elisabet","Farmàcia Quintana Cañellas, Elisabet",Salut|Farmàcies||,," CT BARCELONA, 1",,,,,,,,8189,Sant Quirze Safaja,82397,Moianès,938662582,,,429534852,4619832552,2.152765616,41.727177519,,,07/19/2024 07:55:23 AM,,POINT (2.1527655 41.727177)
3623823,"Farmàcia Merinero Cabestany, P. Carolina","Farmàcia Merinero Cabestany, P. Carolina",Salut|Farmàcies||,," CT BARCELONA, 130",,,,,,,,8291,Ripollet,81803,Vallès Occidental,936920021,,,428917553,4593845641,2.148428060,41.493077146,,,07/19/2024 07:54:36 AM,,POINT (2.148428 41.493076)
3620560,CAP La Farigola,CAP La Farigola,Salut|Centres sanitaris|7. Centres amb intercanvi de xeringues|Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CT BARCELONA, 147-149",,,,,,,,8290,Cerdanyola del Vallès,82665,Vallès Occidental,936919589,,,428887579,4593872231,2.148065867,41.493313965,capfarigola.mn.ics@gencat.cat,https://primaria.icsmetropolitananord.cat/,07/19/2024 07:54:31 AM,"Horari|de dl. a dv. d 8 a 20 h. Fora d'aquest horari, truqueu al 061 Salut Respon o adreceu-vos al CUAP Cerdanyola-Ripollet (obert 24 hores).",POINT (2.1480658 41.493313)
3621736,"Farmàcia Novell Regué, Núria","Farmàcia Novell Regué, Núria",Salut|Farmàcies||,," CT BARCELONA, 216",,,,,,,,8290,Cerdanyola del Vallès,82665,Vallès Occidental,935947195,,,428665042,4594095659,2.145373682,41.495306485,,,07/19/2024 07:54:31 AM,,POINT (2.1453736 41.495308)
3624214,"Farmàcia Montané Bombardó, Glòria","Farmàcia Montané Bombardó, Glòria",Salut|Farmàcies||,," CT BARCELONA, 219",,,,,,,,8201,Sabadell,81878,Vallès Occidental,937260539,,,425578761,4598924998,2.107805637,41.538520457,,,07/19/2024 07:54:33 AM,,POINT (2.1078057 41.53852)
11782206,CSMA Ripollet-Cerdanyola-Montcada i Reixach,CSMA Ripollet-Cerdanyola-Montcada i Reixach,Salut|Centres sanitaris|5. Centres de salut mental|,," CT BARCELONA, 23",,,,,,,,8291,Ripollet,81803,Vallès Occidental,936928286,,,429196709,4593634550,2.151796810,41.491200665,csmripollet@pssjd.org,https://www.pssjd.org/serveis-assistencials,07/19/2024 07:54:36 AM,,POINT (2.1517968 41.4912)
3622617,CUAP Cerdanyola-Ripollet,CUAP Cerdanyola-Ripollet,Salut|Centres sanitaris|2. Centres amb atenció continuada|Salut|Centres sanitaris|7. Centres amb intercanvi de xeringues|,," CT BARCELONA, 23",,,,,,,,8291,Ripollet,81803,Vallès Occidental,,,,429196709,4593634550,2.151796810,41.491200665,acutvallesocc.mn.ics@gencat.cat,,07/19/2024 07:54:36 AM,"Horari|Obert les 24 hores del dia, els 365 dies de l'any.",POINT (2.1517968 41.4912)
3622616,CUAP Cerdanyola-Ripollet,CUAP Cerdanyola-Ripollet,Salut|Centres sanitaris|7. Centres amb intercanvi de xeringues|Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CT BARCELONA, 23",,,,,,,,8291,Ripollet,81803,Vallès Occidental,,,,429196709,4593634550,2.151796810,41.491200665,acutvallesocc.mn.ics@gencat.cat,,07/19/2024 07:54:36 AM,"Horari|Obert les 24 hores del dia, els 365 dies de l'any.",POINT (2.1517968 41.4912)
3622615,CSMIJ Cerdanyola-Ripollet,CSMIJ Cerdanyola-Ripollet,Salut|Centres sanitaris|5. Centres de salut mental|,," CT BARCELONA, 23",,,,,,,,8291,Ripollet,81803,Vallès Occidental,935942111,,,429196709,4593634550,2.151796810,41.491200665,MPamias@tauli.cat ,,07/19/2024 07:54:36 AM,,POINT (2.1517968 41.4912)
10929668,ASSIR Vallès Occidental Cerdanyola i Ripollet,ASSIR Vallès Occidental Cerdanyola i Ripollet,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CT BARCELONA, 23",,,,,,,,8291,Ripollet,81803,Vallès Occidental,935942199,,,429196709,4593634550,2.151796810,41.491200665,assir_sapcr.mn.ics@gencat.cat,,07/19/2024 07:54:36 AM,"Horari|de dl. a dv. de 8 a 20 h

Aquest ASSIR presta serveis en altres punts d'atenció, truqueu al vostre CAP i us informaran",POINT (2.1517968 41.4912)
3621432,"Farmàcia Vela Parellada, Montserrat","Farmàcia Vela Parellada, Montserrat",Salut|Farmàcies||,," CT BARCELONA, 43",,,,,,,,8187,Santa Eulàlia de Ronçana,82482,Vallès Oriental,938447981,,,436076918,4609836113,2.232487339,41.637699037,,,07/19/2024 07:54:23 AM,,POINT (2.2324874 41.6377)
3622003,"Farmàcia Brustenga Fortuny, Marta","Farmàcia Brustenga Fortuny, Marta",Salut|Centres sanitaris|7. Centres amb intercanvi de xeringues|Salut|Farmàcies||,," CT BARCELONA, 558",,,,,,,,8204,Sabadell,81878,Vallès Occidental,937104435,,,426417551,4597731500,2.118006307,41.527848995,,,07/19/2024 07:54:34 AM,,POINT (2.1180062 41.527847)
3623443,"Farmàcia Marcet Vicens, Jordi","Farmàcia Marcet Vicens, Jordi",Salut|Farmàcies||,," CT BARCELONA, 74",,,,,,,,8205,Sabadell,81878,Vallès Occidental,937478020,,,425297123,4599314419,2.104381243,41.542001450,,,07/19/2024 07:54:33 AM,,POINT (2.1043813 41.542)
3621577,"Farmàcia Fornas Andreu, Olga","Farmàcia Fornas Andreu, Olga",Salut|Farmàcies||,," CT BARCELONA, 95",,,,,,,,43820,Calafell,430379,Baix Penedès,977161350,,,383260910,4561213577,1.607857799,41.193875255,,,07/19/2024 07:55:18 AM,,POINT (1.6078578 41.193874)
3623714,"Farmàcia Salayet Pompido, Núria","Farmàcia Salayet Pompido, Núria",Salut|Farmàcies||,," CT BARCELONA, S/N",,,,,,,,8187,Santa Eulàlia de Ronçana,82482,Vallès Oriental,938448980,,,435946188,4611727388,2.230715227,41.654722145,,,07/19/2024 07:54:23 AM,,POINT (2.2307153 41.65472)
3619637,Hospital del Vendrell,Hospital del Vendrell,Salut|Centres sanitaris|3. Hospitals|,," CT BARCELONA, S/N",,,,,,,,43700,"Vendrell, el",431634,Baix Penedès,977257900,,,377860149,4564637421,1.542787835,41.223910519,xarxa@xarxatecla.cat,http://www.xarxatecla.cat/portal/index.php?option=com_content&task=view&id=51&Itemid=77,07/19/2024 07:55:17 AM,Horari|Urgències i emergències 24 hores.,POINT (1.5427878 41.22391)
3619638,PADES Vendrell,PADES Vendrell,Salut|Centres sanitaris|4. Centres sociosanitaris|,," CT BARCELONA, S/N",,,,,,,,43700,"Vendrell, el",431634,Baix Penedès,977257900,,977 25 70 18,377860149,4564637421,1.542787835,41.223910519,jmadsera@xarxatecla.net,http://www.ftecla.es,07/19/2024 07:55:17 AM,,POINT (1.5427878 41.22391)
3619882,Sanatori Villablanca,Sanatori Villablanca,Salut|Centres sanitaris|5. Centres de salut mental|,," CT BELLISENS, 5745",,,,,,,,43206,Reus,431233,Baix Camp,977390011,,977 39 23 63,344793709,4554565830,1.151010990,41.127566700,svb@peremata.com,,07/19/2024 07:55:58 AM,,POINT (1.151011 41.127567)
3622683,Consultori local Borgonyà,Consultori local Borgonyà,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CT BORGONYA, 5",,,,,,,,8571,Sant Vicenç de Torelló,82652,Osona,938505130,,,437324378,4657250348,2.242442136,42.064816260,,,07/19/2024 07:55:26 AM,"Horari|dc., de 9 a 11 h.",POINT (2.2424421 42.064816)
3620175,Consultori local Fogars de la Selva,Consultori local Fogars de la Selva,Salut|Centres sanitaris|1. Centres d'atenció primària (CAP)|,," CT BV 15222, 5",,,,,,,,8495,Fogars de la Selva,80826,Selva,937644025,,93 764 41 59,472824700,4619356800,2.673266241,41.725551312,,,07/19/2024 07:55:34 AM,"Horari|dl, dj i dv 8 a 14h (Metge i inf). Fora d'aquest horari truqueu al 061 CatSalut Respon o adreceu-vos al CAP Tordera de dl. a dg. de de 8 a 20 h o a l'Hospital Comarcal de Blanes o a l' Hospital Comarcal Sant Jaume de Calella. 16/08 tancat ",POINT (2.6732662 41.72555)
3623157,"Farmàcia Mahon Palou, Miquel","Farmàcia Mahon Palou, Miquel",Salut|Farmàcies||,," CT C-17, 17",,,,,,,,8519,Malla,81115,Osona,938895255,,,436503220,4637520540,2.235796832,41.887058982,,,07/19/2024 07:55:27 AM,,POINT (2.235797 41.88706)
3623434,"Farmàcia Valls Relats, Maria Dolors","Farmàcia Valls Relats, Maria Dolors",Salut|Farmàcies||,," CT C-17, 27",,,,,,,,8480,"Ametlla del Vallès, l'",80057,Vallès Oriental,938431907,,,439047293,4612552653,2.267872239,41.662398089,,,07/19/2024 07:54:28 AM,,POINT (2.2678723 41.6624)
3624460,"Farmàcia Granell Molins, Enriqueta","Farmàcia Granell Molins, Enriqueta",Salut|Farmàcies||,," CT C-26, S/N",,,,,,,,25737,Cubells,250791,Noguera,973459192,,,330265463,4635501775,0.955242720,41.853227768,,,07/19/2024 07:56:13 AM,,POINT (0.9552427 41.85323)
3620260,Hospital Comarcal de Blanes,Hospital Comarcal de Blanes,Salut|Centres sanitaris|4. Centres sociosanitaris|,," CT CALA SANT FRANCESC, 5",,,,,,,,17300,Blanes,170237,Selva,972353264,,972 35 33 43,483487689,4615146722,2.801584944,41.687923802,hblanes@salutms.cat,,07/19/2024 07:55:33 AM,,POINT (2.801585 41.687923)
3620261,Hospital Comarcal de Blanes,Hospital Comarcal de Blanes,Salut|Centres sanitaris|7. Centres amb intercanvi de xeringues|Salut|Centres sanitaris|3. Hospitals|,," CT CALA SANT FRANCESC, 5",,,,,,,,17300,Blanes,170237,Selva,972353264,,972 35 33 43,483487689,4615146722,2.801584944,41.687923802,UACCSMS@salutms.cat,https://salutms.cat/,07/19/2024 07:55:33 AM,Horari|Urgències i emergències 24 hores.,POINT (2.801585 41.687923)
3622284,"Farmàcia Pavia Pardo, Xavier","Farmàcia Pavia Pardo, Xavier",Salut|Farmàcies||,," CT CARDONA, 19",,,,,,,,8241,Manresa,81136,Bages,938725517,,,401976439,4619979322,1.821452221,41.725578803,,,07/19/2024 07:55:30 AM,,POINT (1.8214523 41.72558)
