"zref","name","name:ca","zCATEGORIA","amenity","admin_level","government","office","chamber","addr:street","nohousenumber","addr:housenumber","addr:floor","addr:door","addr:postcode","zPOBLACIO","zCODI_MUNICIPI","zCOMARCA","phone","fax","zUTMX","zUTMY","lon","lat","email","website","ZDATA_MODIFICACIO","ZPROPIETATS","ZGeoreferència"
1841215,"Oficina Municipal d'Informació al Consumidor de Ripollet","Oficina Municipal d'Informació al Consumidor de Ripollet","Comerç. Consum|Servei públic de Consum||",,,,"customer_service",,"Carrer de Balmes",,"2-4",,,"08291","Ripollet",81803,"Vallès Occidental","+34-935046007","+34-935809936",429342223,4594220772,"2.153471100","41.496493300","omic@ripollet.cat","http://www.ripollet.cat","04/02/2024 07:01:29 AM","Funcions|- Gestionar les reclamacions per mitjà de la mediació en matèria de consum.<br>- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.","POINT (2.153471 41.496494)"
1841183,"Oficina Municipal d'Informació al Consumidor de Barcelona","Oficina Municipal d'Informació al Consumidor de Barcelona","Comerç. Consum|Servei públic de Consum||",,,,"customer_service",,"Ronda de Sant Pau",,"43-45",,,"08015","Barcelona",80193,"Barcelonès","010",,430173869,4580955345,"2.164966600","41.377089900","omic@bcn.cat","http://ajuntament.barcelona.cat/omic","04/02/2024 07:01:29 AM","Funcions|- Gestionar les denúncies i acomplir les tasques d'inspecció en matèria de consum.<br>- Gestionar les reclamacions per mitjà de la mediació en matèria de consum.<br>- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Iniciar procediments sancionadors de consum.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.","POINT (2.1649666 41.37709)"
1841270,"Agència Catalana del Consum","Agència Catalana del Consum","Comerç. Consum|Servei públic de Consum|Autonòmic|",,,,"customer_service",,"Plaça de Pompeu Fabra",,1,,,17002,"Girona",170792,"Gironès","+34-872975000","872975000",485271265,4647689855,"2.822207288","41.981071058","jsuros@gencat.cat","http://www.consum.cat","04/02/2024 07:01:27 AM","Horari|Horari d'atenció al públic: de dilluns a divendres de 9 a 17h


|Funcions|- Gestionar les denúncies i acomplir les tasques d'inspecció en matèria de consum.<br>- Gestionar les reclamacions per mitjà de la mediació en matèria de consum.<br>- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Iniciar procediments sancionadors de consum.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.|Tipus informació|General de consum|Àmbit|Autonòmic","POINT (2.8222072 41.98107)"
1841273,"Agència Catalana del Consum","Agència Catalana del Consum","Comerç. Consum|Servei públic de Consum|Autonòmic|",,,,"customer_service",,"Plaça de Gerard Vergès",,1,,,43500,"Tortosa",431554,"Baix Ebre","+34-977441234","+34-977495528",291070332,4520881907,"0.522870237","40.812373133","consumterresebre@gencat.cat","http://www.consum.cat","04/02/2024 07:01:27 AM","Horari|Horari de registre i atenció al públic de dilluns a divendres: de 8.15h a 14h tot l'any.
Els dies 24 i 31 de desembre romandran tancats.
Important:
Per tal d'oferir una millor atenció presencial per fer consultes o presentar reclamacions/denúncies, recomanem demanar cita prèvia.
Abans, podeu adreçar-vos al 012 on us informaran dels vostres drets i, si escau, sereu derivats a l'Agència Catalana del Consum.


|Funcions|- Gestionar les denúncies i acomplir les tasques d'inspecció en matèria de consum.<br>- Gestionar les reclamacions per mitjà de la mediació en matèria de consum.<br>- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Iniciar procediments sancionadors de consum.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.|Tipus informació|General de consum|Àmbit|Autonòmic","POINT (0.52287024 40.812374)"
1841272,"Agència Catalana del Consum","Agència Catalana del Consum","Comerç. Consum|Servei públic de Consum|Autonòmic|",,,,"customer_service",,"Carrer de Pompeu Fabra",,1,,,43004,"Tarragona",431482,"Tarragonès","+34-977251717","+34-977920133",353298648,4552762012,"1.252715763","41.112906788",,"http://www.consum.cat","04/02/2024 07:01:27 AM","Horari|Horari de registre i atenció al públic de dilluns a divendres de 8.15h a 14h tot l'any.
Els dies 24 i 31 de desembre romandran tancats.
Important:
Per tal d'oferir una millor atenció presencial per fer consultes o presentar reclamacions/denúncies, recomanem demanar cita prèvia.
Abans, podeu adreçar-vos al 012 on us informaran dels vostres drets i, si escau, sereu derivats a l'Agència Catalana del Consum.


|Funcions|- Gestionar les denúncies i acomplir les tasques d'inspecció en matèria de consum.<br>- Gestionar les reclamacions per mitjà de la mediació en matèria de consum.<br>- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Iniciar procediments sancionadors de consum.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.|Tipus informació|General de consum|Àmbit|Autonòmic","POINT (1.2527157 41.112907)"
1841271,"Agència Catalana del Consum","Agència Catalana del Consum","Comerç. Consum|Servei públic de Consum|Autonòmic|",,,,"customer_service",,"Avinguda del Segre",,7,,,25007,"Lleida",251207,"Segrià","+34-973728000","+34-973727778",302759411,4609953374,"0.632600594","41.616933649","consumlleida@gencat.cat","http://www.consum.cat","04/02/2024 07:01:27 AM","Horari|Horari d'atenció al públic: de 9 a 14h.
Els dies 24 i 31 de dromandran tancats.
Important:
Per tal d'oferir una millor atenció presencial per fer consultes o presentar reclamacions/denúncies, recomanem demanar cita prèvia.
Abans, podeu adreçar-vos al 012 on us informaran dels vostres drets i, si escau, sereu derivats a l'Agència Catalana del Consum.


|Funcions|- Gestionar les denúncies i acomplir les tasques d'inspecció en matèria de consum.<br>- Gestionar les reclamacions per mitjà de la mediació en matèria de consum.<br>- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Iniciar procediments sancionadors de consum.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.|Tipus informació|General de consum|Àmbit|Autonòmic","POINT (0.6326006 41.616932)"
1841161,"Agència Catalana del Consum (Seu Central)","Agència Catalana del Consum (Seu Central)","Comerç. Consum|Servei públic de Consum|Autonòmic|",,,,"customer_service",,"Carrer del Foc",,56,,,"08038","Barcelona",80193,"Barcelonès","+34-938574000","938574000",428031172,4578558937,"2.139629735","41.355317517",,"http://www.consum.cat","04/02/2024 07:01:32 AM","Horari|Horari de registre i d'atenció al públic: de dilluns a divendres de 9 a 14h, tot l'any.
Els dies 24 i 31 de desembre romandran tancats.
Important:
Per tal d'oferir una millor atenció presencial per fer consultes o presentar queixes/reclamacions/denúncies recomanem que us adreceu al 012 on us informaran dels vostres drets.|Funcions|- Gestionar les denúncies i acomplir les tasques d'inspecció en matèria de consum.<br>- Gestionar les reclamacions per mitjà de la mediació en matèria de consum.<br>- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Iniciar procediments sancionadors de consum.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.|Tipus informació|General de consum|Àmbit|Autonòmic","POINT (2.1396298 41.355316)"
1841177,"Oficina Comarcal d'Informació al Consumidor del Maresme","Oficina Comarcal d'Informació al Consumidor del Maresme","Comerç. Consum|Servei públic de Consum|Comarcal|",,,,"customer_service",,"Plaça de Miquel Biada",,1,,,"08301","Mataró",81213,"Maresme","+34-937411618","+34-937572112",453691252,4598114169,"2.444873105","41.533338254","consum@ccmaresme.cat","http://www.ccmaresme.cat","04/02/2024 07:01:30 AM","Horari|Horari d'atenció al públic: de dilluns a divendres de 9 a 14h
|Funcions|- Gestionar les reclamacions per mitjà de la mediació en matèria de consum.<br>- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.|Tipus informació|General de consum|Àmbit|Comarcal","POINT (2.444873 41.533337)"
1841173,"Oficina Comarcal d'Informació al Consumidor de La Noguera","Oficina Comarcal d'Informació al Consumidor de La Noguera","Comerç. Consum|Servei públic de Consum|Comarcal|",,,,"customer_service",,"Plaça de la Unió Catalanista",,1,,,25600,"Balaguer",250404,"Noguera","+34-973448933","+34-973445324",317974776,4628268791,"0.809501000","41.785397700","consell@ccnoguera.cat","http://www.ccnoguera.cat","04/02/2024 07:01:30 AM","Horari|Horari d'atenció al públic: dimarts i dijous de 9 a 14h|Funcions|- Gestionar les reclamacions per mitjà de la mediació en matèria de consum.<br>- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.|Tipus informació|General de consum|Àmbit|Comarcal","POINT (0.809501 41.785397)"
1841344,"Oficina Comarcal d'Informació al Consumidor del Pallars Sobirà","Oficina Comarcal d'Informació al Consumidor del Pallars Sobirà","Comerç. Consum|Servei públic de Consum|Comarcal|",,,,"customer_service",,"Camí de la Cabanera ",,1,,,25560,"Sort",252094,"Pallars Sobirà","+34-973620107","+34-973620078",345977770,4696913611,"1.128212970","42.409251175","apalau@pallarssobira.cat","http://www.pallarssobira.cat","04/02/2024 07:01:31 AM","Horari|Horari d'atenció al públic: de dilluns a divendres de 10 a 14h.
S'aconsella demanar cita prèvia.|Funcions|- Gestionar les reclamacions per mitjà de la mediació en matèria de consum.<br>- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.|Tipus informació|General de consum|Àmbit|Comarcal","POINT (1.1282129 42.409252)"
1841178,"Oficina Comarcal d'Informació al Consumidor del Priorat","Oficina Comarcal d'Informació al Consumidor del Priorat","Comerç. Consum|Servei públic de Consum|Comarcal|",,,,"customer_service",,"Plaça de la Quartera",,1,,,43730,"Falset",430555,"Priorat","+34-977830119","+34-977830465",317082402,4557309346,"0.820276593","41.146492754","consum@priorat.cat","http://www.priorat.cat/consum","04/02/2024 07:01:30 AM","Horari|Horari d'atenció al públic: de dilluns a divendres de 9 a 14h.
|Funcions|- Gestionar les reclamacions per mitjà de la mediació en matèria de consum.<br>- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.|Tipus informació|General de consum|Àmbit|Comarcal","POINT (0.8202766 41.146492)"
1841168,"Oficina Comarcal d'Informació al Consumidor de La Ribera d'Ebre","Oficina Comarcal d'Informació al Consumidor de La Ribera d'Ebre","Comerç. Consum|Servei públic de Consum|Comarcal|",,,,"customer_service",,"Plaça de Sant Roc",,2,,,43740,"Móra d'Ebre",430939,"Ribera d'Ebre","+34-977401851","+34-977400400",302106155,4551515979,"0.643818780","41.090835956","consell@riberaebre.org","http://www.riberaebre.org","04/02/2024 07:01:31 AM","Horari|Horari d'atenció al públic: de dilluns a divendres de 8 a 15h.
S'aconsella demanar cita prèvia.|Funcions|- Gestionar les reclamacions per mitjà de la mediació en matèria de consum.<br>- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.|Tipus informació|General de consum|Àmbit|Comarcal","POINT (0.6438188 41.090836)"
13251685,"Oficina Comarcal d'Informació al Consumidor de La Segarra","Oficina Comarcal d'Informació al Consumidor de La Segarra","Comerç. Consum|Servei públic de Consum|Comarcal|",,,,"customer_service",,"Passeig de Balmes",,3,,,25200,"Cervera",250729,"Segarra","+34-973531300","973531300",356425024,4614667742,"1.275262482","41.670837927","consum@ccsegarra.cat",,"04/02/2024 07:01:26 AM","Horari|Horari d'atencó al públic: dimarts, dijous i divendres de 10 a 14h|Funcions|- Gestionar les reclamacions per mitjà de la mediació en matèria de consum.<br>- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.|Tipus informació|General de consum|Àmbit|Comarcal","POINT (1.2752625 41.670837)"
1841305,"Oficina Comarcal d'Informació al Consumidor de La Segarra","Oficina Comarcal d'Informació al Consumidor de La Segarra","Comerç. Consum|Servei públic de Consum|Comarcal|",,,,"customer_service",,"Passeig de Balmes",,3,,,25200,"Cervera",250729,"Segarra","+34-973531300","+34-973532337",356425024,4614667742,"1.275262482","41.670837927","consum@ccsegarra.cat","http://www.ccsegarra.cat","04/02/2024 07:01:26 AM","Horari|Horari d'atenció al públic: dimarts, dijous i divendres de 10 a 14h|Funcions|- Gestionar les reclamacions per mitjà de la mediació en matèria de consum.<br>- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.|Tipus informació|General de consum|Àmbit|Comarcal","POINT (1.2752625 41.670837)"
1841241,"Oficina Comarcal d'Informació al Consumidor de L' Alt Camp","Oficina Comarcal d'Informació al Consumidor de L' Alt Camp","Comerç. Consum|Servei públic de Consum|Comarcal|",,,,"customer_service",,"Carrer de Mossèn Martí",,3,,,43800,"Valls",431613,"Alt Camp","+34-977608560","+34-977613071",353431027,4572241855,"1.249623534","41.288321804","consum@altcamp.cat",,"04/02/2024 07:01:28 AM","Horari|Horari d'atenció al públic: de dilluns a divendres de 8.30 a 14.30h
|Funcions|- Gestionar les denúncies i acomplir les tasques d'inspecció en matèria de consum.<br>- Gestionar les reclamacions per mitjà de la mediació en matèria de consum.<br>- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.|Tipus informació|General de consum|Àmbit|Comarcal","POINT (1.2496235 41.288322)"
1841343,"Oficina Comarcal d'Informació al Consumidor de La Terra Alta","Oficina Comarcal d'Informació al Consumidor de La Terra Alta","Comerç. Consum|Servei públic de Consum|Comarcal|",,,,"customer_service",,"Carrer del Povet de la Plana ",,4,,,43780,"Gandesa",430640,"Terra Alta","+34-977420018","977420018",285095283,4547628172,"0.442824630","41.051530995","consum@terra-alta.cat",,"04/02/2024 07:01:31 AM","Horari|Horari d'atenció al públic: de dilluns a divendres de 8 a 15h.
No cal cita prèvia.|Funcions|- Gestionar les reclamacions per mitjà de la mediació en matèria de consum.<br>- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.|Tipus informació|General de consum|Àmbit|Comarcal","POINT (0.44282463 41.051533)"
1841180,"Oficina Comarcal d'Informació al Consumidor de L'Anoia","Oficina Comarcal d'Informació al Consumidor de L'Anoia","Comerç. Consum|Servei públic de Consum|Comarcal|",,,,"customer_service",,"Plaça de Sant Miquel",,5,,,"08700","Igualada",81022,"Anoia","+34-938051585","+34-938050611",384782696,4603847361,"1.617892866","41.578011357","consum@anoia.cat","http://www.anoia.cat","04/02/2024 07:01:30 AM","Horari|Horari d'atenció al públic: de 9 a 14h
|Funcions|- Gestionar les reclamacions per mitjà de la mediació en matèria de consum.<br>- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.|Tipus informació|General de consum|Àmbit|Comarcal","POINT (1.6178929 41.57801)"
1841163,"Oficina Comarcal d'Informació al Consumidor d'Osona","Oficina Comarcal d'Informació al Consumidor d'Osona","Comerç. Consum|Servei públic de Consum|Comarcal|",,,,"customer_service",,"Carrer de Ramon d'Abadal i de Vinyals",,5,,,"08500","Vic",82981,"Osona","+34-938832212","+34-938834130",437505767,4641983263,"2.246258600","41.927337000","ocic@ccosona.cat","http://www.ccosona.cat","04/02/2024 07:01:31 AM","Horari|Horari d'atenció al públic: dilluns, dimecres i divendres de 9 a 14h.
Dimecres de 17 a 19h.
Amb cita prèvia.|Funcions|- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.|Tipus informació|General de consum|Àmbit|Comarcal","POINT (2.2462585 41.927338)"
1841335,"Oficina Comarcal d'Informació al Consumidor del Baix Penedès","Oficina Comarcal d'Informació al Consumidor del Baix Penedès","Comerç. Consum|Servei públic de Consum|Comarcal|",,,,"customer_service",,"Plaça del Centre",,5,,,43700,"Vendrell, el",431634,"Baix Penedès","+34-977157170","+34-977157181",377193149,4564447675,"1.534870700","41.222100900","consum@baixpenedes.cat","http://www.ccbp.cat","04/02/2024 07:01:31 AM","Horari|Horari d'atenció al públic: de dilluns a divendres de 9 a 14h, amb cita prèvia|Funcions|- Gestionar les reclamacions per mitjà de la mediació en matèria de consum.<br>- Informar, orientar i assessorar les persones consumidores sobre llurs drets i deures i les formes d'exercir-los.<br>- Rebre i tramitar les queixes, reclamacions i denúncies de les persones consumidores.|Tipus informació|General de consum|Àmbit|Comarcal","POINT (1.5348707 41.2221)"
