"z_NO_OSM","zref","name","name:ca","zCATEGORIA","amenity","community_centre:for","admin_level","government","office","chamber","addr:street","nohousenumber","addr:housenumber","addr:floor","addr:door","addr:postcode","zPOBLACIO","zCODI_MUNICIPI","zCOMARCA","phone","fax","zUTMX","zUTMY","lon","lat","email","website","ZDATA_MODIFICACIO","ZPROPIETATS","ZGeoreferència"
,27042291,"Arxiu Municipal de Sant Feliu de Llobregat","Arxiu Municipal de Sant Feliu de Llobregat","Cultura|Arxius||","archive",,,,,,"Plaça de la Vila",,1,,,"08980","Sant Feliu de Llobregat",82114,"Baix Llobregat","+34-936858000","936858000",420179340,4581494500,"2.045388413","41.381016434",,,"07/10/2024 07:21:00 AM","Titularitat|Administració local: municipal","POINT (2.0453885 41.381016)"
,27043031,"Arxiu Municipal de Sentmenat","Arxiu Municipal de Sentmenat","Cultura|Arxius||","archive",,,,,,"Plaça de la Vila",,1,,,"08181","Sentmenat",82671,"Vallès Occidental","+34-937153030","937153030",427974380,4606692000,"2.135590011","41.608691726","smnt.arxiu@sentmenat.cat","http://www.sentmenat.cat/adreces-i-telefons/arxiu-municipal-1449823064.html","07/10/2024 07:31:43 AM","Titularitat|Administració local: municipal","POINT (2.13559 41.608692)"
,27041096,"Servei d’Arxiu Municipal de Sant Quirze del Vallès","Servei d’Arxiu Municipal de Sant Quirze del Vallès","Cultura|Arxius||","archive",,,,,,"Plaça de la Vila",,1,,,"08192","Sant Quirze del Vallès",82384,"Vallès Occidental","+34-937216800","937216800",423322530,4598331500,"2.080835938","41.532962250","arxiumunicipal@santquirzevalles.cat","https://seu.santquirzevalles.cat/DetallContinguts/_Csc0skTygzMjrh_Wy1y8Y0uZ-78bbGj7","07/10/2024 07:28:05 AM","Titularitat|Administració local: municipal","POINT (2.0808358 41.532963)"
,27042541,"Arxiu Municipal de Pineda de Mar","Arxiu Municipal de Pineda de Mar","Cultura|Arxius||","archive",,,,,,"Plaça de Catalunya",,1,,,"08397","Pineda de Mar",81635,"Maresme","+34-937671560","937671560",474134340,4608467000,"2.689483767","41.627510067","arxiu@pinedademar.org","https://www.pinedademar.cat/serveis/arxiu","07/10/2024 07:27:22 AM","Titularitat|Administració local: municipal","POINT (2.689484 41.62751)"
,27043429,"Arxiu Històric Municipal d'Abrera","Arxiu Històric Municipal d'Abrera","Cultura|Arxius||","archive",,,,,,"Plaça de la Constitució",,1,,,"08630","Abrera",80018,"Baix Llobregat","+34-937700325","937700325",408334560,4596630500,"1.901457351","41.516067219","arxiu@abrera.cat",,"07/10/2024 07:23:36 AM","Titularitat|Administració local: municipal","POINT (1.9014573 41.516068)"
,27041518,"Arxiu Municipal d'Esparreguera","Arxiu Municipal d'Esparreguera","Cultura|Arxius||","archive",,,,,,"Plaça d'Antoni Nin Escudé",,1,,,"08292","Esparreguera",80765,"Baix Llobregat","+34-937777571","937777571",405850500,4599108000,"1.871305453","41.538090557","codinacr@esparreguera.cat","http://www.esparreguera.cat/arxiu/","07/10/2024 07:34:25 AM","Titularitat|Administració local: municipal","POINT (1.8713055 41.53809)"
,27041084,"Arxiu Municipal de Dosrius","Arxiu Municipal de Dosrius","Cultura|Arxius||","archive",,,,,,"Carrer de Sant Antoni",,1,,,"08319","Dosrius",80752,"Maresme","+34-937919740","937919740",450486800,4604947000,"2.405898129","41.594688830","nalsina@dosrius.cat","http://www.dosrius.es/historic.asp","07/10/2024 07:34:32 AM","Titularitat|Administració local: municipal","POINT (2.405898 41.59469)"
,27044752,"Arxiu Parroquial de Sant Andreu de Llavaneres","Arxiu Parroquial de Sant Andreu de Llavaneres","Cultura|Arxius||","archive",,,,,,"Plaça de l'Abat Gm Brasó",,1,,,"08392","Sant Andreu de Llavaneres",81976,"Maresme","+34-937926144","937926144",455038700,4603461500,"2.460624663","41.581578309","arpsall@hotmail.com",,"07/10/2024 07:21:06 AM","Titularitat|Església catòlica: parroquial","POINT (2.4606247 41.581577)"
,27041610,"Arxiu Municipal d'Igualada","Arxiu Municipal d'Igualada","Cultura|Arxius||","archive",,,,,,"Plaça de l'Ajuntament",,1,,,"08700","Igualada",81022,"Anoia","+34-938031950","938031950",384754100,4603928500,"1.617534350","41.578737867",,,"07/10/2024 07:22:20 AM","Titularitat|Administració local: municipal","POINT (1.6175344 41.57874)"
,27042111,"Arxiu Municipal de Vilanova del Camí","Arxiu Municipal de Vilanova del Camí","Cultura|Arxius||","archive",,,,,,"Plaça del Castell",,1,,,"08788","Vilanova del Camí",83020,"Anoia","+34-938054422","938054422",386136660,4603187000,"1.634255380","41.572259026",,,"07/10/2024 07:19:57 AM","Titularitat|Administració local: municipal","POINT (1.6342554 41.572258)"
,27042251,"Arxiu Municipal de Berga","Arxiu Municipal de Berga","Cultura|Arxius||","archive",,,,,,"Plaça de Sant Pere",,1,,,"08600","Berga",80229,"Berguedà","+34-938214333","938214333",404587280,4662004000,"1.846038818","42.104327891",,,"07/10/2024 07:23:04 AM","Titularitat|Administració local: municipal","POINT (1.8460388 42.10433)"
,27044933,"Arxiu Municipal de Llinars del Vallès","Arxiu Municipal de Llinars del Vallès","Cultura|Arxius||","archive",,,,,,"Plaça de la Vila",,1,,,"08450","Llinars del Vallès",81069,"Vallès Oriental","+34-938412750","938412750",450392250,4609891500,"2.404354072","41.639217001",,,"07/10/2024 07:22:10 AM","Titularitat|Administració local: municipal","POINT (2.404354 41.639217)"
,27042888,"Arxiu – Museu Folch i Torres – Castell de Plegamans","Arxiu – Museu Folch i Torres – Castell de Plegamans","Cultura|Arxius||","archive",,,,,,"Carrer del Castell",,1,,,"08184","Palau-solità i Plegamans",81568,"Vallès Occidental","+34-938644359","938644359",431749700,4604004000,"2.181200704","41.584814312","arxiu@fundaciofolchitorres.org","https://fundaciofolchitorres.org/la-fundacio/arxiu/","07/10/2024 07:28:21 AM","Titularitat|Privat: entitats, associacions, fundacions","POINT (2.1812007 41.584816)"
,27040909,"Arxiu Municipal de Palau-solità i Plegamans","Arxiu Municipal de Palau-solità i Plegamans","Cultura|Arxius||","archive",,,,,,"Plaça de la Vila",,1,,,"08184","Palau-solità i Plegamans",81568,"Vallès Occidental","+34-938648056","938648056",431521220,4604314500,"2.178424446","41.587591244",,,"07/10/2024 07:21:40 AM","Titularitat|Administració local: municipal","POINT (2.1784244 41.587593)"
,27041113,"Museu-Arxiu Tomàs Balvey","Museu-Arxiu Tomàs Balvey","Cultura|Arxius||","archive",,,,,,"Carrer de Daurella",,1,,,"08440","Cardedeu",80462,"Vallès Oriental","+34-938713070","938713070",446273100,4609789000,"2.354907074","41.638026902","museu@cardedeu.cat","http://www.museudecardedeu.cat","07/10/2024 07:33:06 AM","Titularitat|Administració local: municipal","POINT (2.354907 41.638027)"
,27044904,"Arxiu Central dels Jutjats de Vic","Arxiu Central dels Jutjats de Vic","Cultura|Arxius||","archive",,,,,,"Carrer del Doctor Junyent",,1,,,"08500","Vic",82981,"Osona","+34-938834533","938834533",437941600,4642076500,"2.251504915","41.928211080","arxiu.vic@xij.gencat.cat",,"07/10/2024 07:20:06 AM","Titularitat|Generalitat de Catalunya: Administració de Justícia","POINT (2.251505 41.92821)"
,27043374,"Arxiu Municipal de Vic","Arxiu Municipal de Vic","Cultura|Arxius||","archive",,,,,,"Carrer de la Ciutat",,1,,,"08500","Vic",82981,"Osona","+34-938862100","938862100",438242720,4642245500,"2.255118762","41.929756713","arxiu@vic.cat","https://www.vic.cat/","07/10/2024 07:26:58 AM","Titularitat|Administració local: municipal","POINT (2.2551188 41.929756)"
,27041064,"Arxiu Episcopal de Vic","Arxiu Episcopal de Vic","Cultura|Arxius||","archive",,,,,,"Carrer de Santa Maria",,1,,,"08500","Vic",82981,"Osona","+34-938894432","938894432",438225880,4642043000,"2.254936886","41.927931677","abev@abev.net","http://www.abev.net/","07/10/2024 07:35:55 AM","Titularitat|Església catòlica: diocesà","POINT (2.254937 41.927933)"
,27045851,"Arxiu Municipal de Sant Sadurní d'Anoia","Arxiu Municipal de Sant Sadurní d'Anoia","Cultura|Arxius||","archive",,,,,,"Plaça de l'Ajuntament",,1,,,"08770","Sant Sadurní d'Anoia",82401,"Alt Penedès","+34-938910325","938910325",398620380,4586547000,"1.786758410","41.424089690","arxiu@santsadurni.cat","https://santsadurni.cat/arxiu","07/10/2024 07:28:07 AM","Titularitat|Administració local: municipal","POINT (1.7867584 41.42409)"
,27042161,"Arxiu Municipal de Girona","Arxiu Municipal de Girona","Cultura|Arxius||","archive",,,,,,"Placeta de l'Institut Vell",,1,,,17004,"Girona",170792,"Gironès","+34-972221545","972221545",485509030,4648352500,"2.825061034","41.987043680","arxiumunicipal@ajgirona.cat","http://www.girona.cat/sgdap","07/10/2024 07:34:04 AM","Titularitat|Administració local: municipal","POINT (2.825061 41.987045)"
,27042427,"Arxiu Històric de Girona","Arxiu Històric de Girona","Cultura|Arxius||","archive",,,,,,"Plaça de Sant Josep",,1,,,17004,"Girona",170792,"Gironès","+34-972225500","972225500",485566530,4647946000,"2.825765170","41.983383533","ahg.cultura@gencat.cat","http://cultura.gencat.cat/arxius/ahg","07/10/2024 07:36:19 AM","Titularitat|Generalitat de Catalunya: comarcal","POINT (2.8257651 41.983383)"
,27045603,"Arxiu Municipal de Castelló d'Empúries","Arxiu Municipal de Castelló d'Empúries","Cultura|Arxius||","archive",,,,,,"Plaça del Joc de la Pilota",,1,,,17486,"Castelló d'Empúries",170470,"Alt Empordà","+34-972250426","972250426",506123620,4678457000,"3.074242014","42.258288351","arxiu@castello.cat","http://www.castello.cat/arxiumunicipal/","07/10/2024 07:34:45 AM","Titularitat|Administració local: municipal","POINT (3.074242 42.25829)"
,27042947,"Arxiu Comarcal de la Garrotxa","Arxiu Comarcal de la Garrotxa","Cultura|Arxius||","archive",,,,,,"Plaça del Puig Roser",,1,,,17800,"Olot",171143,"Garrotxa","+34-972279131","972279131",457520800,4670352500,"2.485590083","42.184167363","acgarrotxa.cultura@gencat.cat","http://cultura.gencat.cat/arxius/acgax","07/10/2024 07:36:23 AM","Titularitat|Generalitat de Catalunya: comarcal","POINT (2.48559 42.184166)"
,27042185,"Arxiu Municipal d'Olot","Arxiu Municipal d'Olot","Cultura|Arxius||","archive",,,,,,"Plaça del Puig Roser",,1,,,17800,"Olot",171143,"Garrotxa","+34-972279131","972279131",457520800,4670352500,"2.485590083","42.184167363","arxiu@olot.cat","https://www.olot.cat/pl59/ajuntament/arees-i-departaments-muncipals/directori-municipal/id48/arxiu-municipal-d-olot.htm","07/10/2024 07:27:26 AM","Titularitat|Administració local: municipal","POINT (2.48559 42.184166)"
,27041416,"Arxiu Municipal de Santa Coloma de Farners ","Arxiu Municipal de Santa Coloma de Farners ","Cultura|Arxius||","archive",,,,,,"Plaça del Primer d'Octubre",,1,,,17430,"Santa Coloma de Farners",171805,"Selva","+34-972840808","972840808",472027000,4634433000,"2.662964778","41.861312489",,,"07/10/2024 07:20:50 AM","Titularitat|Administració local: municipal","POINT (2.6629648 41.861313)"
,27042259,"Arxiu Central del Palau de Justícia de Girona","Arxiu Central del Palau de Justícia de Girona","Cultura|Arxius||","archive",,,,,,"Plaça de Josep M. Lidón",,1,,,17001,"Girona",170792,"Gironès","+34-972942513","972942513",485506750,4648391000,"2.825032560","41.987390394","arxiu.palaujusticia.girona@xij.gencat.cat",,"07/10/2024 07:22:26 AM","Titularitat|Generalitat de Catalunya: Administració de Justícia","POINT (2.8250325 41.98739)"
,27044756,"Arxiu Municipal de Tàrrega","Arxiu Municipal de Tàrrega","Cultura|Arxius||","archive",,,,,,"Plaça Major",,1,,,25300,"Tàrrega",252173,"Urgell","+34-973311608","973311608",345029530,4612182000,"1.139082206","41.646324864",,,"07/10/2024 07:20:36 AM","Titularitat|Administració local: municipal","POINT (1.1390822 41.646324)"
,27045816,"Arxiu Municipal de la Seu d'Urgell","Arxiu Municipal de la Seu d'Urgell","Cultura|Arxius||","archive",,,,,,"Plaça dels Oms",,1,,,25700,"Seu d'Urgell, la",252038,"Alt Urgell","+34-973350010","973350010",373371780,4690687500,"1.462363924","42.358150699",,,"07/10/2024 07:20:44 AM","Titularitat|Administració local: municipal","POINT (1.462364 42.35815)"
,27044919,"Arxiu Municipal de Balaguer","Arxiu Municipal de Balaguer","Cultura|Arxius||","archive",,,,,,"Plaça del Mercadal",,1,,,25600,"Balaguer",250404,"Noguera","+34-973445200","973445200",317581280,4628740500,"0.804624089","41.789552895",,,"07/10/2024 07:23:27 AM","Titularitat|Administració local: municipal","POINT (0.8046241 41.789555)"
,27045134,"Arxiu Diocesà de Solsona","Arxiu Diocesà de Solsona","Cultura|Arxius||","archive",,,,,,"Plaça del Palau ",,1,,,25280,"Solsona",252075,"Solsonès","+34-973480619","973480619",377332720,4650173000,"1.518982608","41.994019027","arxiu@bisbatsolsona.cat",,"07/10/2024 07:20:42 AM","Titularitat|Església catòlica: diocesà","POINT (1.5189826 41.99402)"
,27044222,"Arxiu Històric de les Valls d'Àneu","Arxiu Històric de les Valls d'Àneu","Cultura|Arxius||","archive",,,,,,"Plaça de la Closa",,1,,,25580,"Esterri d'Àneu",250864,"Pallars Sobirà","+34-973626532","973626532",346057880,4721267500,"1.122633067","42.628476986","biblioteca@esterrianeu.cat",,"07/10/2024 07:22:35 AM","Titularitat|Administració local: municipal","POINT (1.1226331 42.628475)"
,27042741,"Arxiu Municipal de Tremp","Arxiu Municipal de Tremp","Cultura|Arxius||","archive",,,,,,"Plaça de la Creu",,1,,,25620,"Tremp",252347,"Pallars Jussà","+34-973650005","973650005",326211880,4670456500,"0.896094937","42.166961669","arxiu@tremp.cat","http://www.ajuntamentdetremp.cat","07/10/2024 07:35:51 AM","Titularitat|Administració local: municipal","POINT (0.8960949 42.16696)"
,27041819,"Arxiu Central dels Jutjats de Solsona","Arxiu Central dels Jutjats de Solsona","Cultura|Arxius||","archive",,,,,,"Carrer de Llobera",,1,,,28280,"Solsona",252075,"Solsonès","+34-973700279","973700279",377277900,4650186500,"1.518318135","41.994132037","arxiu.solsona@xij.gencat.cat",,"07/10/2024 07:20:42 AM","Titularitat|Generalitat de Catalunya: Administració de Justícia","POINT (1.5183182 41.994133)"
,27043862,"Arxiu Municipal de Lleida","Arxiu Municipal de Lleida","Cultura|Arxius||","archive",,,,,,"Plaça de la Paeria",,1,,,25007,"Lleida",251207,"Segrià","+34-973700352","973700352",302260400,4609721000,"0.626692811","41.614718929","arxiu@paeria.cat","http://www.arxiu.paeria.cat","07/10/2024 07:35:44 AM","Titularitat|Administració local: municipal","POINT (0.62669283 41.61472)"
,27041411,"Arxiu i Gestió de Documents de la Universitat de Lleida","Arxiu i Gestió de Documents de la Universitat de Lleida","Cultura|Arxius||","archive",,,,,,"Plaça de Victor Siurana",,1,,,25003,"Lleida",251207,"Segrià","+34-973702005","973702005",301675720,4609737500,"0.619675729","41.614722375","arxiu@udl.cat","http://www.udl.cat/ca/serveis/arxiu/","07/10/2024 07:30:22 AM","Titularitat|Corporacions i entitats oficials: universitari","POINT (0.61967576 41.614723)"
,27041654,"Arxiu Municipal del Vendrell","Arxiu Municipal del Vendrell","Cultura|Arxius||","archive",,,,,,"Plaça Vella",,1,,,43700,"Vendrell, el",431634,"Baix Penedès","+34-977166400","977166400",377188160,4564219500,"1.534857062","41.220045443",,,"07/10/2024 07:20:07 AM","Titularitat|Administració local: municipal","POINT (1.534857 41.220047)"
,27043433,"Arxiu Central Administratiu de la Delegació Territorial del Govern a les Terres de l'Ebre","Arxiu Central Administratiu de la Delegació Territorial del Govern a les Terres de l'Ebre","Cultura|Arxius||","archive",,,,,,"Plaça de Gerard Vergès",,1,,,43500,"Tortosa",431554,"Baix Ebre","+34-977495488","977495488",291094750,4520892500,"0.523155939","40.812474685","cmacia@gencat.cat","http://cultura.gencat.cat/ca/departament/estructura_i_adreces/organismes/dgpc/temes/arxius_i_gestio_documental/gestiodocumental/gdgencat/aca/delegacions/terres_ebre/","07/10/2024 07:36:19 AM","Titularitat|Generalitat de Catalunya: administratiu territorial","POINT (0.5231559 40.812473)"
,27043730,"Arxiu Municipal de Constantí","Arxiu Municipal de Constantí","Cultura|Arxius||","archive",,,,,,"Plaça de l'Hospital",,1,,,43120,"Tarragona",431482,"Tarragonès","+34-977520521","977520521",349956720,4557295000,"1.211821848","41.153109733","arxiu@constanti.cat","http://www.arxiudeconstanti.cat","07/10/2024 07:35:44 AM","Titularitat|Administració local: municipal","POINT (1.2118218 41.15311)"
,27041637,"Arxiu Municipal de Tortosa ","Arxiu Municipal de Tortosa ","Cultura|Arxius||","archive",,,,,,"Plaça d'Espanya",,1,,,43500,"Tortosa",431554,"Baix Ebre","+34-977585800","977585800",290895530,4520729500,"0.520850670","40.810956956",,,"07/10/2024 07:20:23 AM","Titularitat|Administració local: municipal","POINT (0.52085066 40.81096)"
