"zref","name","name:ca","zCATEGORIA","amenity","admin_level","government","office","chamber","addr:street","nohousenumber","addr:housenumber","addr:floor","addr:door","addr:postcode","zPOBLACIO","zCODI_MUNICIPI","zCOMARCA","phone","fax","zUTMX","zUTMY","lon","lat","email","website","ZDATA_MODIFICACIO","ZPROPIETATS","ZGeoreferència"
3040233,"Confraria de Pescadors de Calella","Confraria de Pescadors de Calella","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Carrer de les Ànimes",,"73-75",2,4,"08370","Calella",80351,"Maresme","+34-93 769 28 79","93 769 28 79",471928176,4607207091,"2.663058354","41.616087339",,,"07/19/2024 07:37:16 AM",,"POINT (2.6630583 41.61609)"
9127600,"Confraria de Pescadors de Sant Feliu de Guíxols","Confraria de Pescadors de Sant Feliu de Guíxols","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Moll de Pescadors","yes",,,,17220,"Sant Feliu de Guíxols",171609,"Baix Empordà","+34-972 32 03 81","972 32 03 81",503056328,4625395169,"3.036772000","41.780411000","info@cpguixols.cat",,"07/19/2024 07:37:16 AM",,"POINT (3.036772 41.78041)"
3040229,"Confraria de Pescadors de Barcelona","Confraria de Pescadors de Barcelona","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Moll de Pescadors","yes",,,,"08039","Barcelona",80193,"Barcelonès","+34-93 221 77 45","93 221 77 45",431905878,4580595639,"2.185490000","41.374105000",,,"07/19/2024 07:37:16 AM",,"POINT (2.18549 41.374104)"
3040228,"Confraria de Pescadors de Badalona","Confraria de Pescadors de Badalona","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Moll de Quimet Costa","yes",,,,"08912","Badalona",80155,"Barcelonès","+34-93 384 35 06","93 384 35 06",436435934,4587095615,"2.239244878","41.432891634","confrariabadalona@gmail.com",,"07/19/2024 07:37:16 AM",,"POINT (2.239245 41.43289)"
3040227,"Confraria de Pescadors d'Arenys de Mar","Confraria de Pescadors d'Arenys de Mar","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Moll de Pescadors","yes",,,,"08350","Arenys de Mar",80060,"Maresme","+34-93 792 04 90","93 792 04 90",463126096,4602985437,"2.557687000","41.577675000","cpsantelmo@gmail.com",,"07/19/2024 07:37:16 AM",,"POINT (2.557687 41.577675)"
3040242,"Confraria de Pescadors de Roses","Confraria de Pescadors de Roses","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Carrer del Comercial","yes",,,,17480,"Roses",171523,"Alt Empordà","+34-972 25 62 91","972 25 62 91",514848638,4678211875,"3.180016420","42.255963450",,"http://www.confrariapescadorsroses.cat","07/19/2024 07:37:16 AM",,"POINT (3.1800165 42.255962)"
3040230,"Confraria de Pescadors de Blanes","Confraria de Pescadors de Blanes","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Carrer de l'Esplanada del Port","yes",,,,17300,"Blanes",170237,"Selva","+34-972 33 01 24","972 33 01 24",483291210,4613843801,"2.799246000","41.676149000",,,"07/19/2024 07:37:16 AM",,"POINT (2.799246 41.676147)"
3040236,"Confraria de Pescadors de Llançà","Confraria de Pescadors de Llançà","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Moll Pesquer","yes",,,,17490,"Llançà",170926,"Alt Empordà","+34-972 38 03 62","972 38 03 62",513556844,4691295191,"3.164629787","42.373803461","confraria@cpllanca.com",,"07/19/2024 07:37:16 AM",,"POINT (3.1646297 42.373802)"
3040254,"Confraria de Pescadors de l'Escala","Confraria de Pescadors de l'Escala","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Carrer del Port de la Clota","yes",,,,17130,"Escala, l'",170622,"Alt Empordà","+34-972 77 65 97","972 77 65 97",512343821,4662708246,"3.149320603","42.116376080","info@cpescala.cat",,"07/19/2024 07:37:16 AM",,"POINT (3.1493206 42.116375)"
3040248,"Confraria de Pescadors de Tarragona","Confraria de Pescadors de Tarragona","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Moll dels Pescadors","yes",,,,43004,"Tarragona",431482,"Tarragonès","+34-977 21 55 19","977 21 55 19",352209840,4552380392,"1.239845162","41.109273383","cp_tarr@gna.es ",,"07/19/2024 07:37:16 AM",,"POINT (1.2398452 41.109272)"
3040234,"Confraria de Pescadors de Cambrils","Confraria de Pescadors de Cambrils","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Moll de Ponent","yes",,,,43850,"Cambrils",430385,"Baix Camp","+34-977 36 00 52","977 36 00 52",336880480,4547646309,"1.058644000","41.063756000","confraria.cambrils@gmail.com / secretari.confrariacambrils@gmail.com",,"07/19/2024 07:37:16 AM",,"POINT (1.058644 41.063755)"
3040252,"Confraria de Pescadors de l'Ametlla de Mar","Confraria de Pescadors de l'Ametlla de Mar","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Moll Pesquer","yes",,,,43860,"Ametlla de Mar, l'",430136,"Baix Ebre","+34-977 45 60 07","977 45 60 07",314755296,4527896446,"0.801529000","40.881171000","administracio@coframet.cat",,"07/19/2024 07:37:16 AM",,"POINT (0.801529 40.881172)"
3040249,"Confraria de Pescadors de Torredembarra","Confraria de Pescadors de Torredembarra","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Moll Pesquer","yes",,,,43830,"Torredembarra",431536,"Tarragonès","+34-977 64 48 30","977 64 48 30",365765581,4554966101,"1.400671000","41.134933000","torredembarra@confrariespescadors.cat",,"07/19/2024 07:37:16 AM",,"POINT (1.400671 41.134933)"
3040256,"Confraria de Pescadors de les Cases d'Alcanar","Confraria de Pescadors de les Cases d'Alcanar","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Moll de Pesquers","yes",,,,43569,,,,"+34-977 73 70 20","977 73 70 20",290904987,4491996572,"0.530428000","40.552363000","raulribot@cplescases.com",,"07/19/2024 07:37:16 AM",,"POINT (0.530428 40.552364)"
3040244,"Confraria de Pescadors de la Ràpita (Verge del Carme)","Confraria de Pescadors de la Ràpita (Verge del Carme)","Agricultura. Ramaderia. Pesca|Confraries de pescadors||",,,,"chamber","fisherfolk","Moll Pesquer","yes",,,,43540,"Sant Carles de la Ràpita",431362,"Montsià","+34-977 74 01 56","977 74 01 56",297080050,4499036536,"0.601137000","40.617239000","cprapita@gna.es / joanbalague@pescarapita.com",,"07/19/2024 07:37:16 AM",,"POINT (0.601137 40.61724)"
