z_NO_OSM,zref,name,name:ca,zCATEGORIA,amenity,community_centre,community_centre:for,admin_level,government,office,chamber,addr:street,nohousenumber,addr:housenumber,addr:floor,addr:door,addr:postcode,zPOBLACIO,zCODI_MUNICIPI,zCOMARCA,phone,fax,zUTMX,zUTMY,lon,lat,email,website,ZDATA_MODIFICACIO,ZPROPIETATS,ZGeoreferència
a,27045819,Centre Cívic,Centre Cívic,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer del Segre,,1,,,8380,Malgrat de Mar,81108,Maresme,+34-937619813,937619813,478428880,4610952500,2.740949357,41.650025021,ccm@ajmalgrat.cat,http://www.ajmalgrat.cat,07/10/2024 07:35:53 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.7409494 41.650024)
a,27042182,Centre Cívic de Palafolls,Centre Cívic de Palafolls,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer de Francesc Macià,,1,,,8389,Palafolls,81555,Maresme,+34-937620043,937620043,479097660,4612972000,2.748910110,41.668232715,palafoolls@palafolls.cat,http://www.palafolls.cat,07/10/2024 07:32:46 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.7489102 41.668232)
a,27043488,Centre Cívic Alcalde Morera,Centre Cívic Alcalde Morera,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Plaça de Can Palet,,1,,,8223,Terrassa,82798,Vallès Occidental,+34-937869159,937869159,418647340,4600915500,2.024450354,41.555772386,cc.alcalde.morera@terrassa.cat,http://www.terrassa.cat/ajuntament/ccivics.htm,07/10/2024 07:31:17 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.0244503 41.55577)
a,27043679,Casal de Joventut Seràfica,Casal de Joventut Seràfica,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer de Josep Baralt,,1,,,8350,Arenys de Mar,80060,Maresme,+34-937921001,937921001,462261900,4603485500,2.547272956,41.582168320,jmlopez@serafics.cat,http://www.serafics.cat,07/10/2024 07:31:42 AM,Gestio|Privada   |Titularitat|Privada   ,POINT (2.547273 41.58217)
a,27045745,Centre Cívic Cirera,Centre Cívic Cirera,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer de Cadis,,1,,,8304,Mataró,81213,Maresme,+34-937990152,937990152,452806720,4599633500,2.434150977,41.546971123,cccirera@ajmataro.cat,,07/10/2024 07:21:59 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.434151 41.54697)
a,27044190,"Casal d'Avis ""Els Safaretjos""","Casal d'Avis ""Els Safaretjos""","Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Plaça de l'Arbre,,1,,,8712,Sant Martí de Tous,82264,Anoia,+34-938096002,938096002,376621220,4601970000,1.520406803,41.559888604,st.martitous@diba.cat,http://tous.cat,07/10/2024 07:35:57 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (1.5204068 41.559887)
a,27040693,Centre Cívic L'Espai,Centre Cívic L'Espai,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer de Gaudí,,1,,,8810,Sant Pere de Ribes,82310,Garraf,+34-938115783,938115783,394690100,4564905500,1.743484535,41.228690518,fernandezsb@santperederibes.cat,http://www.santperederibes.cat,07/10/2024 07:31:52 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (1.7434845 41.22869)
a,27042440,Local Social del Planet,Local Social del Planet,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer del Xiprer,,1,,,8299,Rellinars,81799,Vallès Occidental,+34-938345926,938345926,408714380,4609400500,1.904066028,41.631113270,,,07/10/2024 07:24:00 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (1.9040661 41.631115)
a,27041798,Centre de Castellfollit del Boix,Centre de Castellfollit del Boix,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer de les Escoles,,1,,,8255,Castellfollit del Boix,80594,Bages,+34-938356033,938356033,390437000,4613631000,1.683911848,41.666907134,castellfollitb@diba.cat,,07/10/2024 07:25:33 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (1.6839118 41.66691)
a,27042479,Centre Cultural Bellavista,Centre Cultural Bellavista,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer d'Astúries,,1,,,8521,"Franqueses del Vallès, les",80863,Vallès Oriental,+34-938405782,938405782,441705620,4607945500,2.300249211,41.621102443,albert.argimon@lesfranqueses.cat,http://lesfranqueses.cat,07/10/2024 07:36:13 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.300249 41.6211)
a,27041799,Centre Cultural Can Ganduxer,Centre Cultural Can Ganduxer,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Avinguda de la Sagrera,,1,,,8520,"Franqueses del Vallès, les",80863,Vallès Oriental,+34-938466506,938466506,441879380,4609224500,2.302210630,41.632634543,albert.argimon@lesfranqueses.cat,http://lesfranqueses.cat,07/10/2024 07:36:13 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.3022106 41.632633)
a,27044632,Unió Batllorienca,Unió Batllorienca,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer de Breda,,1,,,8476,Sant Celoni,82021,Vallès Oriental,+34-938472119,938472119,462365880,4618612500,2.547567996,41.718421163,uniobatllorienca@santceloni.cat,,07/10/2024 07:23:58 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.547568 41.718422)
a,27044229,Centre Cívic Can Gili,Centre Cívic Can Gili,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer Vell de Lliça d'Amunt,,1,,,8403,Granollers,80961,Vallès Oriental,+34-938499045,938499045,439720280,4607347500,2.276479699,41.615569001,infocangili@ajuntament.granollers.cat,http://www.granollers.cat/centrescivics,07/10/2024 07:34:01 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.2764797 41.61557)
a,27041128,Centre Cívic Pi Novell,Centre Cívic Pi Novell,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer del Ginebró,,1,,,8458,Sant Pere de Vilamajor,82346,Vallès Oriental,+34-938610016,938610016,449329900,4615046500,2.391161788,41.685579684,pinovell@vilamajor.cat,http://www.vilamajor.cat,07/10/2024 07:29:19 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.3911617 41.68558)
a,27044004,Local Social Municipal d'Avinyó Nou,Local Social Municipal d'Avinyó Nou,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer del Carme,,1,,,8793,Avinyonet del Penedès,80137,Alt Penedès,+34-938790000,938790000,0,0,0.000000000,0.000000000,avinyonet@diba.cat,http://www.avinyonet.org,07/10/2024 07:35:42 AM,Gestio|Pública   |Titularitat|Pública   ,
a,27044911,Centre Cívic - Pavelló,Centre Cívic - Pavelló,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carretera de Sant Bartomeu,,1,,,8503,Gurb,81000,Osona,+34-938860166,938860166,437185800,4643517000,2.242236316,41.941124414,gurb@diba.cat,http://gurb.cat,07/10/2024 07:36:15 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.2422364 41.941124)
a,27043172,Centre Cívic Jaume Via,Centre Cívic Jaume Via,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Plaça de la Vila,,1,,,8735,Vilobí del Penedès,83041,Alt Penedès,+34-938978144,938978144,388312340,4582940500,1.664095115,41.390245809,vilobi@diba.cat,http://www.vilobi.net,07/10/2024 07:28:59 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (1.6640952 41.390247)
a,27045583,Centre Cívic de la Vall de Bianya,Centre Cívic de la Vall de Bianya,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carretera de Camprodon,,1,,,17813,"Vall de Bianya, la",172082,Garrotxa,+34-972290933,972290933,0,0,0.000000000,0.000000000,info@valldebianya.cat,http://www.valldebianya.cat,07/10/2024 07:29:50 AM,Gestio|Pública   |Titularitat|Pública   ,
a,27041366,Sala Polivalent Ajuntament,Sala Polivalent Ajuntament,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Plaça de l'Ajuntament,,1,,,17457,Riudellots de la Selva,171501,Selva,+34-972478899,972478899,483547440,4637997500,2.801669521,41.893740696,ajuntament@riudellots.cat,http://www.riudellots.cat,07/10/2024 07:32:27 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.8016696 41.89374)
a,27043451,Centre Cívic,Centre Cívic,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer de Sant Esteve,,1,,,17462,Madremanya,170979,Gironès,+34-972491041,972491041,496469880,4648620500,2.957381723,41.989582851,,,07/10/2024 07:24:33 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.9573817 41.989582)
a,27043431,Centre Social i Cultural,Centre Social i Cultural,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer de la Creu,,1,,,17773,Pontós,171365,Alt Empordà,+34-972560228,972560228,493135940,4670470500,2.916875393,42.186353309,ajuntament@pontos.cat,http://www.pontos.cat,07/10/2024 07:32:35 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.9168754 42.18635)
a,27045187,Sala la Fraternal,Sala la Fraternal,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Plaça del Carme,,1,,,17753,Espolla,170643,Alt Empordà,+34-972563004,972563004,500074100,4693155000,3.000900265,42.390684864,ajuntament@espolla.cat,,07/10/2024 07:22:37 AM,Gestio|Privada   |Titularitat|Pública   ,POINT (3.0009003 42.390686)
a,27045218,Centre Municipal Polivalent,Centre Municipal Polivalent,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Plaça Major,,1,,,17832,Crespià,170583,Pla de l'Estany,+34-972597065,972597065,483295700,4670657000,2.797704035,42.187884751,ajuntament@crespia.cat,http://www.crespia.cat,07/10/2024 07:34:35 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.797704 42.187885)
a,27041848,Centre Cívic Polivalent,Centre Cívic Polivalent,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer de Provença ,,1,,,17214,Regencós,171447,Baix Empordà,+34-972611369,972611369,514320617,4644498802,3.172788603,41.952337792,ajuntament@regencos.cat,http://www.regencos.cat,07/10/2024 07:32:30 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (3.1727886 41.95234)
a,27042320,Antigues Escoles de Sant Feliu de Boada,Antigues Escoles de Sant Feliu de Boada,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer dels Magraners ,,1,,,17256,Palau-sator,171215,Baix Empordà,+34-972634132,972634132,510375847,4646973493,3.125235870,41.974688364,palau-sator@ddgi.cat,http://www.palau-sator.cat,07/10/2024 07:32:43 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (3.1252358 41.97469)
a,27045436,Centre Cívic Bon Pastor,Centre Cívic Bon Pastor,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer del Doctor Barraquer,,1,,,17600,Figueres,170669,Alt Empordà,+34-972674249,972674249,495897220,4679168000,2.950253357,42.264705038,civic.altemporda@gencat.cat,,07/10/2024 07:36:42 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.9502532 42.264706)
a,27045186,Centre Civic,Centre Civic,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer de Sant Pere,,1,,,17830,Mieres,171058,Garrotxa,+34-972680184,972680184,470070840,4663908500,2.637894601,42.126711932,amieres@mieres.cat,http://www.mieres.cat,07/10/2024 07:33:25 AM,Gestio|Pública   |Titularitat|Privada   ,POINT (2.6378946 42.126713)
a,27045281,Bar Local Social,Bar Local Social,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Plaça d'Avall,,1,,,17131,Rupià,171539,Baix Empordà,+34-972769274,972769274,500896750,4652041000,3.010831469,42.020397531,ajuntament@rupia.cat,,07/10/2024 07:23:58 AM,Gestio|Privada   |Titularitat|Pública   ,POINT (3.0108314 42.020397)
a,27043829,Centre Cívic del Camp dels Pilans,Centre Cívic del Camp dels Pilans,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Plaça del Camp dels Pilans,,1,,,17130,"Escala, l'",170622,Alt Empordà,+34-972774848,972774848,0,0,-1.488743884,0.000000000,,,07/10/2024 07:25:14 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (-1.4887439 0.0000000000000127)
a,27044451,Centre Cívic de Viladamat,Centre Cívic de Viladamat,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Plaça de la Vila,,1,,,17137,Viladamat,172174,Alt Empordà,+34-972788082,972788082,506103880,4664514500,3.073856337,42.132717439,ajuntament@viladamat.cat,http://www.viladamat.cat,07/10/2024 07:29:30 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (3.0738564 42.132717)
a,27043165,Centre Social d'Albons,Centre Social d'Albons,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer de Sant Crist,,1,,,17136,Albons,170046,Baix Empordà,+34-972788310,972788310,507108500,4661204500,3.085971823,42.102897548,,,07/10/2024 07:23:34 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (3.0859718 42.102898)
a,27041715,Bar Local Social,Bar Local Social,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer del Doctor Meseguer,,1,,,17464,Sant Jordi Desvalls,171668,Gironès,+34-972798883,972798883,496118440,4657720000,2.953078641,42.071536905,,,07/10/2024 07:23:54 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.9530787 42.071537)
a,27044554,Centre Domus Sent Soví,Centre Domus Sent Soví,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Camí dels Ollers,,1,,,17450,Hostalric,170834,Selva,+34-972864011,972864011,469994900,4621613000,2.639129778,41.745770886,,,07/10/2024 07:24:45 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (2.6391299 41.74577)
a,27041659,Centre Cívic Cal Mestre,Centre Cívic Cal Mestre,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Veïnat de Sant Feliu de Buixalleu Nucli,,1,,,17451,Sant Feliu de Buixalleu,171595,Selva,+34-972864018,972864018,0,0,-1.488743884,0.000000000,ajuntament@sfbuixalleu.cat,http://www.santfeliudebuixalleu.cat,07/10/2024 07:32:08 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (-1.4887439 0.0000000000000127)
a,27041590,Local Social,Local Social,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Plaça del Pou,,1,,,25791,Tiurana,252228,Noguera,+34-973056046,973056046,355520060,4648472000,1.256155587,41.975006814,ajuntament@tiurana.cat,http://www.tiurana.cat,07/10/2024 07:31:13 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (1.2561556 41.975006)
a,27043725,Casal Cívic Lleida,Casal Cívic Lleida,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer de la Mercè,,1,,,25003,Lleida,251207,Segrià,+34-973267466,973267466,300978220,4609636000,0.611344913,41.613635339,ivisus@gencat.net,,07/10/2024 07:36:42 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (0.61134493 41.613636)
a,27040976,Local Social,Local Social,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer de Sant Isidre,,1,,,25341,Ciutadilla,250740,Urgell,+34-973303309,973303309,344856970,4602790000,1.139442453,41.561739581,,,07/10/2024 07:22:43 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (1.1394424 41.56174)
a,27041843,Antic Ajuntament - Edifici per entitats,Antic Ajuntament - Edifici per entitats,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer de l'Església,,1,,,25316,Preixens,251771,Noguera,+34-973390216,973390216,0,0,0.000000000,0.000000000,ajuntament@preixens.cat,,07/10/2024 07:24:02 AM,Gestio|Pública   |Titularitat|Pública   ,
a,27041278,Edifici Equipaments de l'Hostal Nou i la Codosa,Edifici Equipaments de l'Hostal Nou i la Codosa,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer de Francesc Macià,,1,,,25617,Vallfogona de Balaguer,252402,Noguera,+34-973432008,973432008,319053060,4628981000,0.822251009,41.792054552,ajuntament@vallfogona.net,http://www.vallfogona.ddl.net,07/10/2024 07:29:48 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (0.822251 41.792053)
a,27044279,Centre Cívic Sanaüja,Centre Cívic Sanaüja,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Baixada del Centre,,1,,,25753,Sanaüja,251919,Segarra,+34-973476008,973476008,359896750,4637501000,1.311565841,41.877026600,ajuntament@sanauja.ddl.net,http://www.ajuntament.org,07/10/2024 07:35:52 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (1.3115659 41.877026)
a,27043931,Centre Cívic,Centre Cívic,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer de Pau Vila,,1,,,25720,Bellver de Cerdanya,250518,Cerdanya,+34-973510016,973510016,399228700,4691434500,1.776133389,42.368657374,cultura@bellver.org,http://www.bellver.org,07/10/2024 07:35:36 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (1.7761334 42.368656)
a,27045801,Centre Cultural Estaràs,Centre Cultural Estaràs,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Plaça Major,,1,,,25214,Estaràs,250851,Segarra,+34-973556388,973556388,365037560,4616805000,1.378198775,41.691586653,ajuntament@estaras.ddl.net,,07/10/2024 07:22:36 AM,Gestio|Altres    |Titularitat|Altres    ,POINT (1.3781987 41.691586)
a,27041324,Esbarjo Veròs Guerrejat,Esbarjo Veròs Guerrejat,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Plaça Major,,1,,,25271,Estaràs,250851,Segarra,+34-973556388,973556388,365037560,4616805000,1.378198775,41.691586653,ajuntament@estaras.ddl.net,,07/10/2024 07:22:36 AM,Gestio|Altres    |Titularitat|Altres    ,POINT (1.3781987 41.691586)
a,27043737,Casal,Casal,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer dels Farraginals,,1,,,25110,Alpicat,250236,Segrià,+34-973736746,973736746,296686380,4615578000,0.557859674,41.666026163,ajuntament@alpicat.cat,http://www.alpicat.cat,07/10/2024 07:35:48 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (0.55785966 41.666027)
a,27044645,Centre Cívic del Port ,Centre Cívic del Port ,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Passeig Marítim,,1,,,43882,Calafell,430379,Baix Penedès,+34-977159058,977159058,382342660,4560728500,1.597003856,41.189374155,,http://www.calafell.cat,07/10/2024 07:35:10 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (1.5970038 41.189373)
a,27040968,Casal Cultural,Casal Cultural,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer del Nord,,1,,,43783,"Pobla de Massaluca, la",431107,Terra Alta,+34-977439754,977439754,278076200,4562382000,0.354057730,41.182409747,,,07/10/2024 07:21:34 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (0.35405773 41.18241)
a,27045815,Centre Cultural de Vinyols,Centre Cultural de Vinyols,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Raval del Raval Sant Joan,,1,,,43391,Vinyols i els Arcs,431785,Baix Camp,+34-977851529,977851529,335317220,4553198500,1.038544693,41.113390106,,,07/10/2024 07:19:52 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (1.0385447 41.11339)
a,27043074,Local Social,Local Social,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer de la Diputació,,1,,,43423,Pira,431074,Conca de Barberà,+34-977887006,977887006,349866560,4587389000,1.203327824,41.424040371,aj.pira@altanet.org,http://pira.altanet.org,07/10/2024 07:36:03 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (1.2033278 41.42404)
a,27045110,Centre Cívic la Fàbrica,Centre Cívic la Fàbrica,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carrer de Puiggili,,1,,,8278,Mura,81398,Bages,,,414811300,4616924000,1.976178354,41.699542559,,,07/10/2024 07:24:22 AM,Gestio|Pública   |Titularitat|Pública   ,POINT (1.9761784 41.699543)
a,27043089,Centre Civic de Samalús,Centre Civic de Samalús,"Cultura|Centres culturals: ateneus, centres cívics i cases de cultura|Centre cívic|",community_centre,,,,,,,Carretera de Cànoves a la Garriga,,1,,,8445,Cànoves i Samalús,80425,Vallès Oriental,,,0,0,0.000000000,0.000000000,,,07/10/2024 07:25:37 AM,Gestio|Privada   |Titularitat|Pública   ,
